Price,Close,High,Low,Open,Volume
Ticker,BTC-USD,BTC-USD,BTC-USD,BTC-USD,BTC-USD
Datetime,,,,,
2025-03-17 20:00:00+00:00,83887.921875,84475.2734375,83887.921875,84475.2734375,0
2025-03-17 21:00:00+00:00,84076.0703125,84194.0,83898.46875,83947.5625,206561280
2025-03-17 22:00:00+00:00,84107.6328125,84214.8671875,84033.1640625,84085.515625,0
2025-03-17 23:00:00+00:00,84094.3515625,84119.625,83807.5390625,84077.203125,0
2025-03-18 00:00:00+00:00,83786.703125,84033.265625,83727.875,84033.265625,0
2025-03-18 01:00:00+00:00,83083.734375,83902.390625,83044.3515625,83799.546875,0
2025-03-18 02:00:00+00:00,83445.5,83475.9140625,83134.3984375,83164.0703125,185198592
2025-03-18 03:00:00+00:00,83120.5234375,83297.9609375,83007.6953125,83297.9609375,0
2025-03-18 04:00:00+00:00,82965.6015625,83182.1484375,82888.3984375,83134.6796875,14110720
2025-03-18 05:00:00+00:00,82981.3671875,83101.96875,82919.46875,82973.6171875,66367488
2025-03-18 06:00:00+00:00,82469.5234375,83022.0078125,82285.6484375,83006.1875,514953216
2025-03-18 07:00:00+00:00,83156.2734375,83174.6484375,82421.65625,82453.46875,554625024
2025-03-18 08:00:00+00:00,83248.1953125,83432.578125,83063.640625,83196.5546875,0
2025-03-18 09:00:00+00:00,82831.6171875,83347.9921875,82831.6171875,83271.6640625,154632192
2025-03-18 10:00:00+00:00,82744.7265625,82916.46875,82610.71875,82821.421875,252278784
2025-03-18 11:00:00+00:00,82590.125,82852.2265625,82524.484375,82824.8359375,0
2025-03-18 12:00:00+00:00,82376.7265625,82793.1953125,82373.46875,82552.625,0
2025-03-18 13:00:00+00:00,81241.859375,82446.0546875,81195.4765625,82426.2265625,627849216
2025-03-18 14:00:00+00:00,81799.0,81934.3203125,81197.75,81373.0234375,143249408
2025-03-18 15:00:00+00:00,81558.828125,82122.34375,81535.3828125,81750.765625,0
2025-03-18 16:00:00+00:00,81846.125,82077.6796875,81544.3359375,81581.9609375,0
2025-03-18 17:00:00+00:00,81379.7734375,81903.609375,81379.7734375,81842.6875,29644800
2025-03-18 18:00:00+00:00,81820.421875,81910.140625,81323.03125,81450.2109375,0
2025-03-18 19:00:00+00:00,82428.3515625,82428.3515625,81754.8046875,81837.7734375,0
2025-03-18 20:00:00+00:00,81996.4375,82315.4453125,81864.796875,82281.984375,196714496
2025-03-18 21:00:00+00:00,81987.9296875,82170.4453125,81943.9765625,82004.0078125,0
2025-03-18 22:00:00+00:00,82436.15625,82523.84375,81999.640625,81999.640625,740179968
2025-03-18 23:00:00+00:00,82717.046875,82784.3984375,82406.546875,82406.546875,39383040
2025-03-19 00:00:00+00:00,82977.6796875,83204.2421875,82620.40625,82702.765625,368760832
2025-03-19 01:00:00+00:00,82708.3828125,83149.4453125,82708.3828125,83149.4453125,0
2025-03-19 02:00:00+00:00,82858.40625,82858.40625,82600.421875,82627.109375,38770688
2025-03-19 03:00:00+00:00,83053.9140625,83053.9140625,82764.578125,82899.796875,0
2025-03-19 04:00:00+00:00,82957.0859375,83051.015625,82797.3671875,83051.015625,140662784
2025-03-19 05:00:00+00:00,83239.0234375,83299.3046875,82930.5,82958.7109375,1157120
2025-03-19 06:00:00+00:00,83190.6796875,83306.8515625,83161.8828125,83244.7734375,0
2025-03-19 07:00:00+00:00,83184.4296875,83345.109375,83131.109375,83203.984375,0
2025-03-19 08:00:00+00:00,83419.5625,83467.75,83207.765625,83274.7421875,185782272
2025-03-19 09:00:00+00:00,83528.375,83572.953125,83365.0078125,83445.8359375,114411520
2025-03-19 10:00:00+00:00,83490.3125,83742.9375,83467.015625,83527.4296875,439918592
2025-03-19 11:00:00+00:00,83870.390625,84035.0,83412.140625,83482.5390625,229861376
2025-03-19 12:00:00+00:00,83773.1875,83882.8203125,83568.1640625,83875.796875,737308672
2025-03-19 13:00:00+00:00,84198.3046875,84319.984375,83702.6875,83756.9140625,0
2025-03-19 14:00:00+00:00,84285.2265625,84378.8984375,83905.6484375,84110.1640625,0
2025-03-19 15:00:00+00:00,84726.921875,84841.0859375,84136.7109375,84305.921875,423798784
2025-03-19 16:00:00+00:00,84595.0,84794.890625,84472.8125,84738.7109375,695758848
2025-03-19 17:00:00+00:00,84153.84375,84687.34375,83850.1171875,84603.4609375,344756224
2025-03-19 18:00:00+00:00,85773.8359375,85773.8359375,83650.09375,84190.765625,3265517568
2025-03-19 19:00:00+00:00,85317.53125,85915.640625,85005.2265625,85683.6171875,2599153664
2025-03-19 20:00:00+00:00,85309.1640625,85849.609375,85251.1796875,85445.6875,475975680
2025-03-19 21:00:00+00:00,85585.96875,85900.703125,85363.9140625,85363.9140625,165337088
2025-03-19 22:00:00+00:00,86191.578125,86492.8515625,85635.7265625,85635.7265625,1616922624
2025-03-19 23:00:00+00:00,86802.453125,87001.984375,86224.4140625,86224.4140625,899186688
2025-03-20 00:00:00+00:00,86208.9921875,87442.1953125,86031.0546875,86870.8671875,539009024
2025-03-20 01:00:00+00:00,85861.0,86382.84375,85789.5703125,86085.0390625,59363328
2025-03-20 02:00:00+00:00,86084.1640625,86116.109375,85701.515625,85876.796875,580472832
2025-03-20 03:00:00+00:00,85890.8671875,86140.390625,85862.5078125,86082.703125,335863808
2025-03-20 04:00:00+00:00,85656.3671875,85922.4296875,85466.7109375,85894.4453125,519258112
2025-03-20 05:00:00+00:00,85831.9296875,85831.9296875,85492.84375,85670.4296875,0
2025-03-20 06:00:00+00:00,85810.8046875,86000.6875,85667.3671875,85800.7421875,290123776
2025-03-20 07:00:00+00:00,85840.359375,85946.5234375,85740.296875,85786.65625,557477888
2025-03-20 08:00:00+00:00,86277.96875,86286.1484375,85724.4296875,85831.3671875,0
2025-03-20 09:00:00+00:00,85850.390625,86259.515625,85840.1796875,86259.515625,744435712
2025-03-20 10:00:00+00:00,85197.8515625,85939.46875,84882.2265625,85872.4765625,575397888
2025-03-20 11:00:00+00:00,85451.2109375,85466.9140625,85159.484375,85159.484375,56479744
2025-03-20 12:00:00+00:00,85324.84375,85503.3125,85211.2421875,85477.9765625,0
2025-03-20 13:00:00+00:00,85414.2109375,85695.6171875,85110.1875,85323.484375,0
